name,city,neighborhood,summary
Indian Accent,New York,Midtown,A Midtown branch of an acclaimed restaurant in New Delhi Indian Accent feeds the desire to see traditional cuisine twisted bent and played with.
King of Falafel &amp; Shawarma,Queens,Astoria,For 14 years Fares Zeideia known as Freddy plied a street cart on the corner of Broadway and 30th Street in Astoria Queens clad in billowy pants with look-at-me prints calling his customers by name and handing out free falafel like alms. At his first bricks-and-mortar restaurant the falafel and shawarma are as great as they ever were served in a dining room decorated in bright red and green to keep the atmosphere Í¢‘„‘ñnot too official.\u201d
Momofuku Nishi,New York,Chelsea,David ChangÍ¢‘„‘s alleged foray into Italian flavors takes place in an unpleasantly loud and uncomfortable room.
Taiwan Bear House,New York,Chinatown,At Taiwan Bear House in Chinatown biodegradable wooden boxes are packed with rice minced pork simmered down to a near gravy garlicky cabbage half a soy-dark egg and a dense square of dry tofu then topped with a thin crusty pork chop slabs of pork belly or chicken twice fried in the night-market style. They are stubbornly unfancy and in no need of elevation.
AngelaÍ¢‘„‘s,Brooklyn,Bedford Stuyvesant,Growing up in Guyana Angela Pellew-Whyte watched her father prepare holiday feasts for his nine children and the sprawling families of his six brothers and two sisters. At her namesake restaurant due north of some of the cityÍ¢‘„‘s more celebrated Trinidadian roti and doubles shops she presents pan-Caribbean dishes Í¢‘„‘î saltfish and bake curry goat a profound oxtail stew Í¢‘„‘î under a wooden chandelier as what sounds like one eternal song loops from the speakers.
CafÍ—‘© Altro Paradiso,New York,SoHo,A fantasy on the theme of a simple Italian cafe; the food can look and sound ordinary but is often anything but.
AntonÍ¢‘„‘s Dumplings,New York,West Village,Anton Yelyashkevich who was born in Minsk Belarus and grew up in Bensonhurst Brooklyn designed this food cart with the white red and black color scheme of a Soviet propaganda poster. His dumplings are small but robust made by hand from Mr. YelyashkevichÍ¢‘„‘s recipe at a pelmeni factory in Brooklyn with skins that are thin but strong enough to survive a bout in boiling water and a quick press and scrape over a flat-top grill.
Chaiwali,New York,Harlem,On two lovingly decorated floors of a Harlem brownstone this restaurant serves the relaxed light-handed modern food that Americans with roots in India may cook at home.
El Molcajete,Bronx,Soundview,From downtown Manhattan El Molcajete is not much farther than the late-night taco trucks on Roosevelt Avenue in Queens or the taquerias of Bushwick and Sunset Park Brooklyn and as serious a destination. Tacos here can barely hold their chubby fistfuls of meat: hanks of shredded barbacoa dark and caramelly cecina cabeza more a stage of melt than flesh. Little English is spoken; the staff is cooking for and serving the neighborhood.
Bite of Hong Kong,New York,Chinatown,The trappings are classic at this Cantonese restaurant: great round banquet tables draped in red tablecloths lazy Susans making idle revolutions and a wall of tanks stocked with faintly prehistoric fish. The menu is at once too vast and too pithy but if you study it long enough you will find dishes that speak to both the elegance and motley of eating in Hong Kong.
Salvation Burger,New York,Midtown East,At Salvation Burger the chef April Bloomfield zeroes in on what the people want and dispenses with almost everything else; three of the five main courses are burgers and all five come on a bun.
The Spotted Pig,New York,West Village,April Bloomfield and Ken FriedmanÍ¢‘„‘s tchotchke-filled gastropub is hugely influential and enduringly popular.
BK Jani,Brooklyn,Bushwick,At this small Pakistani barbecue spot the beef lamb and chicken are pasture-raised and hormone-free and come from Pat LaFrieda although that only partly explains their blackened magic. Sibte Hassan the chef and owner is a Midas of meat which he serves at picnic tables on paper plates with no utensils in homage to the street food of his childhood in Lahore.
I Sodi,New York,West Village,To eat at I Sodi is to abide by the laws of eating that Rita Sodi the chef and an owner brought with her from the farm north of Florence where she was raised.
Le Turtle,New York,Lower East Side,Supposedly this is a Í¢‘„‘ñFrench new wave\u201d restaurant and while the menu isnÍ¢‘„‘t especially French the design has a Godardian sense of humor.
Lilia,Brooklyn,Williamsburg,Missy RobbinsÍ¢‘„‘s first restaurant as an owner and the chef specializes in exceptional pasta and grilled Italian seafood.
TutÍ¢‘„‘s Hub Royal Cuisine,Queens,Astoria,A few blocks south of the Little Egypt strip in Astoria Queens TutÍ¢‘„‘s Hub stands three stories crowned by the sun disk of Aten and guarded by a statue of the warrior goddess Sekhmet. The surroundings are lofty but few dishes rise above $10 orders are placed at the cash register and the best dishes have roots in the streets.
Angkor Cambodian Bistro,New York,Upper East Side,At Angkor the chef Minh Truong's dishes are gently spiced many harking back to the Thai restaurant he ran in Chelsea for two decades; the best draw from his motherÍ¢‘„‘s Cambodian recipes.
Insa,Brooklyn,Gowanus,Officially a Korean barbecue restaurant Insa sets itself apart through the modern chefÍ¢‘„‘s sensibility displayed in the kitchen.
MimiÍ¢‘„‘s Hummus,New York,East Village,The best hummus in town may be found at Mimi KitaniÍ¢‘„‘s namesake restaurant in Ditmas Park Brooklyn which now has an outpost in the East Village.
High Street on Hudson,,West Village,Serious and creative all day long High Street on Hudson understands that coffee and a great pastry can be just as meaningful before noon as an artfully plated duck breast is after dark.
Yaso Tangbao,Brooklyn,Downtown Brooklyn,Nearly everything on the menu at this informal restaurant summons up the streets of Shanghai from the giant shaggy pork-belly meatballs called lion's heads majestic and mystifyingly airy to volcanic soup dumplings from a chef who made his name at the first Joe's Shanghai in Flushing Queens.
Bouley,New York,TriBeCa,The baronial dining room and the lushness of David BouleyÍ¢‘„‘s cooking make this a restaurant for sensualists and romantics.
Leche y Miel Restaurant,Bronx,Kingsbridge,Leche y Miel occupies a former pizzeria facing the elevated tracks near the end of the No. 1 train line. Rideiby PeÍ—‘±a the chef and his wife Altagracia PeÍ—‘±a both have roots in the Dominican Republic as do the finest dishes here. The dining room is modest but a tower of cookbooks on the kitchen counter from restaurants ranked among the worldÍ¢‘„‘s best speaks to Mr. PeÍ—‘±aÍ¢‘„‘s ambitions.
Little Pepper,Queens,College Point,The chefs excel at bringing the fiery flavors of Sichuan cuisine into balance with sweet salty and sour ones.
OatMeals,New York,Greenwich Village,At this all-oat cafe oat sheaves lean in a corner of the front window vintage oat tins line the shelves and pillows hand-sewn from racehorse-feed sacks tumble on a bench. But if the quaint wholesome scene is expected the 30-odd variations of oatmeal are not including bowls Í¢‘„‘î sized in Baby Bear Mama Bear and Papa Bear of course Í¢‘„‘î topped with the likes of bacon truffle oil coconut milk sriracha and GruyÍ—‘Îre.
Kichin,Brooklyn,Williamsburg,At Kichin a mostly Korean mostly takeout shop under the Marcy Avenue L train stop the young chef Bryan Moon cooks alongside friends he met while working at a Japanese noodle shop. Occasionally he borrows from that culinary tradition while also championing the dishes of his childhood and inventing a few of his own including a rice ball prickly with bacon shards hiding a soft-boiled quail egg at its center.
Pizza Moto @ John Grace Bakery,Brooklyn,Red Hook,A pizzeria in the Brooklyn-Neapolitan tradition exemplified by RobertaÍ¢‘„‘s and FrannyÍ¢‘„‘s Pizza Moto makes excellent use of a restored oven.
East Coast PokÍ—‘©,,West Village,Brooklyn-born Alfred DiMartini a former line cook at Lupa and Bouley makes fine honest poke without too many complications and sometimes if youÍ¢‘„‘re lucky Spam musubi.
Llama Inn,Brooklyn,Williamsburg,Llama InnÍ¢‘„‘s careful kitchen is interpreting the cuisine of Peru whose vast catalog of ingredients and wild juxtapositions of influences have not been especially well displayed in New York.
